"","id","BLOCK","QES","PAIR","BEST","WORST","RES.B","RES.W","RES","less","medium","high","less1","medium1","high1","less2","medium2","high2","less3","medium3","high3","STR"
"180",1,1,6,30,6,5,3,1,0,0,0,0,-1,0,1,0,-1,1,1,-1,0,1060
"181",1,1,7,1,1,2,4,1,0,1,-1,0,0,0,0,1,0,-1,1,0,-1,1070
"182",1,1,7,2,1,3,4,1,0,1,-1,0,1,0,-1,0,0,0,1,-1,0,1070
"183",1,1,7,3,1,4,4,1,0,1,0,-1,0,0,0,1,-1,0,1,-1,0,1070
"184",1,1,7,4,1,5,4,1,0,1,0,-1,1,-1,0,0,0,0,1,0,-1,1070
"185",1,1,7,5,1,6,4,1,0,1,0,-1,1,0,-1,1,0,-1,0,0,0,1070
"186",1,1,7,6,2,1,4,1,0,-1,1,0,0,0,0,-1,0,1,-1,0,1,1070
"187",1,1,7,7,2,3,4,1,0,0,0,0,1,0,-1,-1,0,1,0,-1,1,1070
"188",1,1,7,8,2,4,4,1,0,0,1,-1,0,0,0,0,-1,1,0,-1,1,1070
"189",1,1,7,9,2,5,4,1,0,0,1,-1,1,-1,0,-1,0,1,0,0,0,1070
"190",1,1,7,10,2,6,4,1,0,0,1,-1,1,0,-1,0,0,0,-1,0,1,1070
"191",1,1,7,11,3,1,4,1,0,-1,1,0,-1,0,1,0,0,0,-1,1,0,1070
"192",1,1,7,12,3,2,4,1,0,0,0,0,-1,0,1,1,0,-1,0,1,-1,1070
"193",1,1,7,13,3,4,4,1,0,0,1,-1,-1,0,1,1,-1,0,0,0,0,1070
"194",1,1,7,14,3,5,4,1,0,0,1,-1,0,-1,1,0,0,0,0,1,-1,1070
"195",1,1,7,15,3,6,4,1,0,0,1,-1,0,0,0,1,0,-1,-1,1,0,1070
"196",1,1,7,16,4,1,4,1,1,-1,0,1,0,0,0,-1,1,0,-1,1,0,1070
"197",1,1,7,17,4,2,4,1,0,0,-1,1,0,0,0,0,1,-1,0,1,-1,1070
"198",1,1,7,18,4,3,4,1,0,0,-1,1,1,0,-1,-1,1,0,0,0,0,1070
"199",1,1,7,19,4,5,4,1,0,0,0,0,1,-1,0,-1,1,0,0,1,-1,1070
"200",1,1,7,20,4,6,4,1,0,0,0,0,1,0,-1,0,1,-1,-1,1,0,1070
"201",1,1,7,21,5,1,4,1,0,-1,0,1,-1,1,0,0,0,0,-1,0,1,1070
"202",1,1,7,22,5,2,4,1,0,0,-1,1,-1,1,0,1,0,-1,0,0,0,1070
"203",1,1,7,23,5,3,4,1,0,0,-1,1,0,1,-1,0,0,0,0,-1,1,1070
"204",1,1,7,24,5,4,4,1,0,0,0,0,-1,1,0,1,-1,0,0,-1,1,1070
"205",1,1,7,25,5,6,4,1,0,0,0,0,0,1,-1,1,0,-1,-1,0,1,1070
"206",1,1,7,26,6,1,4,1,0,-1,0,1,-1,0,1,-1,0,1,0,0,0,1070
"207",1,1,7,27,6,2,4,1,0,0,-1,1,-1,0,1,0,0,0,1,0,-1,1070
"208",1,1,7,28,6,3,4,1,0,0,-1,1,0,0,0,-1,0,1,1,-1,0,1070
"209",1,1,7,29,6,4,4,1,0,0,0,0,-1,0,1,0,-1,1,1,-1,0,1070
"210",1,1,7,30,6,5,4,1,0,0,0,0,0,-1,1,-1,0,1,1,0,-1,1070
"211",1,1,8,1,1,2,8,1,0,0,0,0,1,-1,0,1,0,-1,1,-1,0,1080
"212",1,1,8,2,1,3,8,1,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,1080
"213",1,1,8,3,1,4,8,1,0,1,-1,0,1,0,-1,0,0,0,1,-1,0,1080
"214",1,1,8,4,1,5,8,1,0,1,0,-1,0,0,0,1,-1,0,1,-1,0,1080
"215",1,1,8,5,1,6,8,1,0,1,0,-1,1,-1,0,0,0,0,1,0,-1,1080
"216",1,1,8,6,2,1,8,1,0,0,0,0,-1,1,0,-1,0,1,-1,1,0,1080
"217",1,1,8,7,2,3,8,1,0,1,-1,0,0,0,0,0,-1,1,-1,1,0,1080
"218",1,1,8,8,2,4,8,1,0,1,-1,0,0,1,-1,-1,0,1,0,0,0,1080
"219",1,1,8,9,2,5,8,1,0,1,0,-1,-1,1,0,0,-1,1,0,0,0,1080
"220",1,1,8,10,2,6,8,1,0,1,0,-1,0,0,0,-1,0,1,0,1,-1,1080
"221",1,1,8,11,3,1,8,1,0,-1,1,0,-1,1,0,-1,1,0,0,0,0,1080
"222",1,1,8,12,3,2,8,1,0,-1,1,0,0,0,0,0,1,-1,1,-1,0,1080
"223",1,1,8,13,3,4,8,1,0,0,0,0,0,1,-1,-1,1,0,1,-1,0,1080
"224",1,1,8,14,3,5,8,1,0,0,1,-1,-1,1,0,0,0,0,1,-1,0,1080
"225",1,1,8,15,3,6,8,1,0,0,1,-1,0,0,0,-1,1,0,1,0,-1,1080
"226",1,1,8,16,4,1,8,1,0,-1,1,0,-1,0,1,0,0,0,-1,1,0,1080
"227",1,1,8,17,4,2,8,1,0,-1,1,0,0,-1,1,1,0,-1,0,0,0,1080
"228",1,1,8,18,4,3,8,1,0,0,0,0,0,-1,1,1,-1,0,-1,1,0,1080
"229",1,1,8,19,4,5,8,1,0,0,1,-1,-1,0,1,1,-1,0,0,0,0,1080
"230",1,1,8,20,4,6,8,1,0,0,1,-1,0,-1,1,0,0,0,0,1,-1,1080
"231",1,1,8,21,5,1,8,1,0,-1,0,1,0,0,0,-1,1,0,-1,1,0,1080
"232",1,1,8,22,5,2,8,1,0,-1,0,1,1,-1,0,0,1,-1,0,0,0,1080
"233",1,1,8,23,5,3,8,1,0,0,-1,1,1,-1,0,0,0,0,-1,1,0,1080
"234",1,1,8,24,5,4,8,1,0,0,-1,1,1,0,-1,-1,1,0,0,0,0,1080
"235",1,1,8,25,5,6,8,1,0,0,0,0,1,-1,0,-1,1,0,0,1,-1,1080
"236",1,1,8,26,6,1,8,1,0,-1,0,1,-1,1,0,0,0,0,-1,0,1,1080
"237",1,1,8,27,6,2,8,1,0,-1,0,1,0,0,0,1,0,-1,0,-1,1,1080
"238",1,1,8,28,6,3,8,1,0,0,-1,1,0,0,0,1,-1,0,-1,0,1,1080
"239",1,1,8,29,6,4,8,1,0,0,-1,1,0,1,-1,0,0,0,0,-1,1,1080
"240",1,1,8,30,6,5,8,1,0,0,0,0,-1,1,0,1,-1,0,0,-1,1,1080
"241",1,1,9,1,1,2,4,1,0,0,0,0,1,0,-1,1,-1,0,1,0,-1,1090
"242",1,1,9,2,1,3,4,1,0,1,-1,0,0,0,0,1,0,-1,1,0,-1,1090
"243",1,1,9,3,1,4,4,1,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,1090
"244",1,1,9,4,1,5,4,1,0,1,0,-1,0,0,0,1,-1,0,1,-1,0,1090
"245",1,1,9,5,1,6,4,1,0,1,0,-1,1,0,-1,1,0,-1,0,0,0,1090
"246",1,1,9,6,2,1,4,1,0,0,0,0,-1,0,1,-1,1,0,-1,0,1,1090
"247",1,1,9,7,2,3,4,1,0,1,-1,0,-1,0,1,0,1,-1,0,0,0,1090
"248",1,1,9,8,2,4,4,1,0,1,-1,0,0,-1,1,0,0,0,-1,0,1,1090
"249",1,1,9,9,2,5,4,1,0,1,0,-1,-1,0,1,0,0,0,0,-1,1,1090
"250",1,1,9,10,2,6,4,1,0,1,0,-1,0,0,0,0,1,-1,-1,0,1,1090
"251",1,1,9,11,3,1,4,1,0,-1,1,0,0,0,0,-1,0,1,-1,0,1,1090
"252",1,1,9,12,3,2,4,1,0,-1,1,0,1,0,-1,0,-1,1,0,0,0,1090
"253",1,1,9,13,3,4,4,1,0,0,0,0,1,-1,0,0,-1,1,-1,0,1,1090
"254",1,1,9,14,3,5,4,1,0,0,1,-1,0,0,0,0,-1,1,0,-1,1,1090
"255",1,1,9,15,3,6,4,1,0,0,1,-1,1,0,-1,0,0,0,-1,0,1,1090
"256",1,1,9,16,4,1,4,1,1,-1,1,0,-1,1,0,-1,1,0,0,0,0,1090
"257",1,1,9,17,4,2,4,1,0,-1,1,0,0,1,-1,0,0,0,1,0,-1,1090
"258",1,1,9,18,4,3,4,1,0,0,0,0,-1,1,0,0,1,-1,1,0,-1,1090
"259",1,1,9,19,4,5,4,1,0,0,1,-1,-1,1,0,0,0,0,1,-1,0,1090
"260",1,1,9,20,4,6,4,1,0,0,1,-1,0,1,-1,0,1,-1,0,0,0,1090
"261",1,1,9,21,5,1,4,1,0,-1,0,1,0,0,0,-1,1,0,-1,1,0,1090
"262",1,1,9,22,5,2,4,1,0,-1,0,1,1,0,-1,0,0,0,0,1,-1,1090
"263",1,1,9,23,5,3,4,1,0,0,-1,1,0,0,0,0,1,-1,0,1,-1,1090
"264",1,1,9,24,5,4,4,1,0,0,-1,1,1,-1,0,0,0,0,-1,1,0,1090
"265",1,1,9,25,5,6,4,1,0,0,0,0,1,0,-1,0,1,-1,-1,1,0,1090
"266",1,1,9,26,6,1,4,1,0,-1,0,1,-1,0,1,-1,0,1,0,0,0,1090
"267",1,1,9,27,6,2,4,1,0,-1,0,1,0,0,0,0,-1,1,1,0,-1,1090
"268",1,1,9,28,6,3,4,1,0,0,-1,1,-1,0,1,0,0,0,1,0,-1,1090
"269",1,1,9,29,6,4,4,1,0,0,-1,1,0,-1,1,0,-1,1,0,0,0,1090
