id,BLOCK,B1,W1,B2,W2,B3,W3,B4,W4,B5,W5,B6,W6,B7,W7,B8,W8,B9,W9,B10,W10,B11,W11,B12,W12
118,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
119,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
120,1,3,9,3,4,3,9,3,1,8,9,3,9,6,9,6,1,3,9,3,1,3,9,6,9
121,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
122,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
123,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
124,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
125,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
126,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
127,1,3,9,2,7,2,9,3,8,2,9,2,9,1,9,2,8,3,9,2,8,2,9,2,9
128,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
129,1,9,3,5,3,9,3,5,8,9,8,9,3,9,8,5,8,9,3,7,3,9,3,9,1
130,1,5,9,5,7,5,1,5,1,5,9,6,1,6,9,5,1,5,1,4,1,6,9,5,1
131,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,4,2
132,1,5,9,5,7,5,1,5,1,5,9,6,1,6,9,5,1,5,1,4,1,6,9,5,1
133,1,7,3,4,2,5,1,4,1,4,2,7,1,4,1,7,1,4,1,4,1,4,2,4,1
134,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,4,2
135,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
136,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
137,1,9,8,7,6,9,8,4,8,9,8,9,6,9,8,7,8,9,1,7,8,9,8,9,6
138,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
139,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
140,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
141,1,3,9,4,7,2,9,4,8,4,9,2,9,4,9,2,8,4,9,4,8,4,9,4,9
142,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
143,1,5,3,5,2,5,1,5,1,5,2,7,1,7,1,5,1,5,1,7,1,6,2,5,1
144,1,3,9,4,7,2,9,4,8,4,9,2,9,4,9,2,8,4,9,4,8,4,9,4,9
145,1,7,3,7,2,9,2,4,1,7,2,7,2,7,1,7,2,7,1,7,1,9,2,9,2
146,1,3,8,4,6,3,8,4,8,4,8,3,9,4,8,7,8,4,9,4,8,4,8,4,9
147,1,9,3,7,4,9,2,8,4,9,4,9,2,9,4,7,2,9,4,8,2,9,4,9,4
148,1,7,3,7,3,9,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,9,3,9,2
149,1,3,9,3,7,3,9,3,5,2,9,3,9,6,9,6,7,3,9,3,7,3,9,6,9
150,1,3,5,4,5,3,1,4,1,4,5,3,1,4,1,2,1,4,1,4,1,4,2,4,1
